  0.175438E-04  0.113885E-17  0.682432E+01  0.122629E+06  0.999684E+02  0.100730E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.827302E-05  0.114661E-17  0.678292E+01  0.122629E+06  0.999684E+02  0.100738E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.464640E-05  0.120353E-17  0.673303E+01  0.122629E+06  0.999684E+02  0.100763E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.236972E-05  0.118011E-17  0.690565E+01  0.122629E+06  0.999684E+02  0.100852E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.659922E-06  0.117691E-17  0.735551E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.297947E-07  0.119155E-17  0.745920E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.616679E-11  0.120168E-17  0.744455E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
  0.378958-202  0.122107E-17  0.751164E+01  0.122629E+06  0.999684E+02  0.100887E+03  0.687556E+12  0.522428E+03  0.602591E+01
