  0.196322E+01  0.287345E+00  0.343966E-01  0.100000E-01  0.100000E+03  0.207000E+01  0.149000E+01  0.410000E+00  0.169000E+01
  0.199150E+01  0.287342E+00  0.343943E-01  0.999973E-02  0.100000E+03  0.207188E+01  0.148911E+01  0.409976E+00  0.169000E+01
  0.201889E+01  0.287339E+00  0.343920E-01  0.999947E-02  0.100000E+03  0.207383E+01  0.148824E+01  0.409952E+00  0.169000E+01
  0.207118E+01  0.287337E+00  0.343877E-01  0.999897E-02  0.100000E+03  0.207778E+01  0.148659E+01  0.409906E+00  0.169000E+01
  0.216716E+01  0.287341E+00  0.343797E-01  0.999804E-02  0.100000E+03  0.208582E+01  0.148355E+01  0.409822E+00  0.169001E+01
  0.233272E+01  0.287374E+00  0.343658E-01  0.999640E-02  0.100000E+03  0.210217E+01  0.147828E+01  0.409674E+00  0.169002E+01
  0.259525E+01  0.287493E+00  0.343432E-01  0.999371E-02  0.100000E+03  0.213471E+01  0.146981E+01  0.409433E+00  0.169003E+01
  0.297369E+01  0.287796E+00  0.343097E-01  0.998964E-02  0.100000E+03  0.219565E+01  0.145733E+01  0.409071E+00  0.169005E+01
  0.347092E+01  0.288374E+00  0.342641E-01  0.998398E-02  0.100000E+03  0.229752E+01  0.144062E+01  0.408572E+00  0.169007E+01
  0.407082E+01  0.289202E+00  0.342080E-01  0.997689E-02  0.100000E+03  0.244279E+01  0.142051E+01  0.407952E+00  0.169010E+01
  0.473720E+01  0.290113E+00  0.341466E-01  0.996902E-02  0.100000E+03  0.261636E+01  0.139901E+01  0.407267E+00  0.169013E+01
  0.540979E+01  0.290922E+00  0.340869E-01  0.996132E-02  0.100000E+03  0.279139E+01  0.137866E+01  0.406597E+00  0.169015E+01
  0.600231E+01  0.291526E+00  0.340366E-01  0.995489E-02  0.100000E+03  0.294001E+01  0.136189E+01  0.406027E+00  0.169015E+01
  0.642568E+01  0.291899E+00  0.340015E-01  0.995068E-02  0.100000E+03  0.304145E+01  0.135039E+01  0.405624E+00  0.169010E+01
  0.664579E+01  0.292071E+00  0.339828E-01  0.994913E-02  0.100000E+03  0.309086E+01  0.134424E+01  0.405397E+00  0.168995E+01
  0.672070E+01  0.292114E+00  0.339747E-01  0.994996E-02  0.100000E+03  0.310296E+01  0.134138E+01  0.405274E+00  0.168964E+01
  0.674197E+01  0.292099E+00  0.339687E-01  0.995296E-02  0.100000E+03  0.309700E+01  0.133896E+01  0.405146E+00  0.168901E+01
  0.676070E+01  0.292051E+00  0.339586E-01  0.995912E-02  0.100000E+03  0.307975E+01  0.133474E+01  0.404912E+00  0.168776E+01
  0.679694E+01  0.291958E+00  0.339385E-01  0.997113E-02  0.100000E+03  0.304609E+01  0.132642E+01  0.404445E+00  0.168529E+01
  0.687287E+01  0.291794E+00  0.338980E-01  0.999368E-02  0.100000E+03  0.298418E+01  0.130997E+01  0.403514E+00  0.168048E+01
  0.703406E+01  0.291555E+00  0.338163E-01  0.100330E-01  0.100000E+03  0.288062E+01  0.127799E+01  0.401666E+00  0.167142E+01
  0.735979E+01  0.291422E+00  0.336540E-01  0.100897E-01  0.100000E+03  0.273855E+01  0.121869E+01  0.398087E+00  0.165547E+01
  0.789178E+01  0.292115E+00  0.333560E-01  0.101298E-01  0.100001E+03  0.259872E+01  0.112184E+01  0.391694E+00  0.163143E+01
  0.848128E+01  0.294526E+00  0.329198E-01  0.100089E-01  0.100001E+03  0.249520E+01  0.100349E+01  0.382584E+00  0.160889E+01
  0.867475E+01  0.296071E+00  0.327309E-01  0.988655E-02  0.100001E+03  0.246991E+01  0.960669E+00  0.378723E+00  0.160437E+01
  0.887786E+01  0.298006E+00  0.325040E-01  0.957045E-02  0.100001E+03  0.243267E+01  0.914480E+00  0.374167E+00  0.161076E+01
  0.904264E+01  0.300068E+00  0.322894E-01  0.888431E-02  0.100001E+03  0.240027E+01  0.875966E+00  0.369780E+00  0.164289E+01
  0.916215E+01  0.302276E+00  0.321404E-01  0.770177E-02  0.100002E+03  0.237042E+01  0.845732E+00  0.364953E+00  0.169727E+01
  0.925391E+01  0.305319E+00  0.321642E-01  0.606628E-02  0.100002E+03  0.233646E+01  0.818006E+00  0.357137E+00  0.171685E+01
  0.933431E+01  0.310016E+00  0.324799E-01  0.423165E-02  0.100004E+03  0.229097E+01  0.787425E+00  0.343815E+00  0.162173E+01
  0.943742E+01  0.317026E+00  0.330771E-01  0.260134E-02  0.100005E+03  0.222414E+01  0.746870E+00  0.324643E+00  0.141426E+01
  0.958248E+01  0.326407E+00  0.338425E-01  0.147034E-02  0.100007E+03  0.213157E+01  0.694788E+00  0.301968E+00  0.117718E+01
  0.973986E+01  0.337458E+00  0.347232E-01  0.823808E-03  0.100008E+03  0.202148E+01  0.640158E+00  0.278557E+00  0.972062E+00
  0.984544E+01  0.348530E+00  0.358430E-01  0.494736E-03  0.100008E+03  0.191417E+01  0.597541E+00  0.255867E+00  0.811921E+00
  0.984446E+01  0.357770E+00  0.375366E-01  0.342757E-03  0.100008E+03  0.183171E+01  0.577885E+00  0.233288E+00  0.706955E+00
  0.982507E+01  0.360746E+00  0.382639E-01  0.306711E-03  0.100008E+03  0.180378E+01  0.574660E+00  0.225463E+00  0.675954E+00
  0.976079E+01  0.364517E+00  0.396032E-01  0.280027E-03  0.100008E+03  0.178185E+01  0.578448E+00  0.213632E+00  0.654490E+00
  0.961602E+01  0.370147E+00  0.420208E-01  0.266004E-03  0.100008E+03  0.176617E+01  0.594790E+00  0.195953E+00  0.643876E+00
